idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,reasoning_tokens
0,P1_zero_shot,gpt5,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,neutral,neutral,51,394,445,0.01627,384.0
1,P1_zero_shot,gpt5,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,contradiction,60,76,136,0.00364,64.0
2,P1_zero_shot,gpt5,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,neutral,neutral,58,778,836,0.0317,768.0
3,P1_zero_shot,gpt5,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,neutral,57,266,323,0.01121,256.0
4,P1_zero_shot,gpt5,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,neutral,78,74,152,0.00374,64.0
5,P1_zero_shot,gpt5,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,neutral,112,266,378,0.01176,256.0
6,P1_zero_shot,gpt5,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,contradiction,85,76,161,0.00389,64.0
7,P1_zero_shot,gpt5,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,neutral,86,2442,2528,0.09854,2432.0
8,P1_zero_shot,gpt5,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,neutral,63,1098,1161,0.04455,1088.0
9,P1_zero_shot,gpt5,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,contradiction,100,140,240,0.0066,128.0
10,P1_zero_shot,gpt5,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,entailment,entailment,71,268,339,0.01143,256.0
11,P1_zero_shot,gpt5,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,neutral,80,202,282,0.00888,192.0
